N_genres,f1_micro,precision_micro,recall_micro,f1_macro,precision_macro,recall_macro,f1_weighted,precision_weighted,recall_weighted,f1_samples,precision_samples,recall_samples
2,0.869364161849711,0.8086021505376344,0.94,0.8171058425877219,0.762840082424026,0.8798701501389019,0.868562863286755,0.807313851109813,0.94,0.8857794361525705,0.8622512437810945,0.9532027363184079
12,0.6112640801001251,0.5201499531396439,0.7410779315367808,0.4343388554694203,0.4549212521375436,0.49911037103772254,0.5951678163776234,0.5172877127579425,0.7410779315367808,0.6022521862052891,0.553741174347522,0.777754280300467
22,0.5557598940709136,0.4753964258746539,0.6688208215297451,0.3213045523968665,0.34323683782234155,0.3578954691339945,0.520814933112608,0.45019575990853933,0.6688208215297451,0.5432012443110223,0.4992570533512345,0.7135744279715485
32,0.5419102139198554,0.4613924375352727,0.6564712752755676,0.336672920873942,0.3835156641652166,0.3671979914983596,0.5138630163706482,0.4520958183931633,0.6564712752755676,0.5236756765227685,0.4788451115280384,0.6983503082283571
42,0.525951173552803,0.4687577179550506,0.5990405251862139,0.3014911122830905,0.36593442902979056,0.31334145450937895,0.4911675510498894,0.46051139420856607,0.5990405251862139,0.5011358604571746,0.48275441967823257,0.6309674284278564
52,0.5184011449601309,0.4476715956742441,0.615674133430462,0.27452731618608034,0.3289189993507862,0.2919872763648841,0.4845681688996734,0.44112096087498953,0.615674133430462,0.4947047406931897,0.4598760529167104,0.6509863838583562
62,0.5086553283970584,0.44364117258100066,0.5959966836432548,0.24497650503724527,0.3408054301640576,0.25480005345753703,0.46866078305514625,0.43530673859156244,0.5959966836432548,0.4835546110674619,0.45596101775877057,0.6269450275068252
72,0.5096125837459947,0.4538261997405966,0.581036200597808,0.23043777114208744,0.35328395290852344,0.2336398554460178,0.46490639970857994,0.4403029574637938,0.581036200597808,0.48655906716613173,0.46824391384052927,0.6161309981677794
82,0.5005222581447402,0.4612246768723073,0.5471400608960417,0.20168221191173596,0.304469088138514,0.19929139694312228,0.4491178265315818,0.4390552916737723,0.5471400608960417,0.47593462881764703,0.47405547656271313,0.5822067639494849
92,0.4875857939103598,0.4289245481805657,0.5648345784418356,0.18762657822668752,0.2728482699387261,0.19468285275502553,0.4375659620306781,0.41299661188218945,0.5648345784418356,0.46468028190677946,0.4396858722352087,0.6081957044316691
102,0.48020486323566064,0.42577559877833143,0.5505898248713817,0.1697777095780187,0.26191056633500137,0.17610273681883032,0.4244662302839238,0.403330736565052,0.5505898248713817,0.4586425264292903,0.438855318985156,0.5914111718974245
112,0.47880209272956886,0.42813356993063395,0.543073460200532,0.15356494803858142,0.2391719701975736,0.15996580416356265,0.4202032258391001,0.4025211157675962,0.543073460200532,0.45755228437237117,0.44221073573490877,0.5865645856358325
122,0.48106174264281587,0.4464867180805484,0.5214410808106079,0.14774769932024356,0.2575646076361246,0.14835411600741538,0.41711755491273,0.4191945540562946,0.5214410808106079,0.45815442384019966,0.4569156602600142,0.5688867347565211
132,0.474160350307853,0.42890461637445715,0.5300929377267531,0.13779096766129756,0.2200382798536479,0.14029526243435414,0.41149470023682827,0.3959084508911939,0.5300929377267531,0.4515364374382501,0.4401913525772552,0.574028446480272
142,0.4686013739651224,0.4246378546629953,0.5227194576804047,0.12173657809765139,0.18162065517190398,0.1261725011345254,0.4055285732467471,0.38781314072895645,0.5227194576804047,0.4470270375219304,0.43531407047124476,0.5687322751797993
152,0.4675158420277795,0.4099685675797036,0.5438570364854802,0.12632102610221305,0.204184639219469,0.1318898166015819,0.40793574348886,0.38925534472099965,0.5438570364854802,0.44562732932121474,0.420517538017538,0.5910126617939118
162,0.4680240894751936,0.4261267775367558,0.5190585702402505,0.12192641057641485,0.21896431474544173,0.12102762697618341,0.4046009413938834,0.40486327045960324,0.5190585702402505,0.44522803730427574,0.43579585673335675,0.5644444941319942
172,0.46732062162460053,0.4262848869942894,0.5170983950436606,0.11430505473696322,0.20249654718969223,0.11373507836973548,0.4022605842455528,0.39986758262215105,0.5170983950436606,0.4452654543185282,0.4362375534728178,0.5638366564097015
182,0.4641926536101539,0.4129589471322815,0.5299395451492179,0.10618441197751548,0.18838005996785565,0.10963189179272624,0.3987249934545635,0.37870133577075404,0.5299395451492179,0.44120248187068084,0.42104612759374666,0.5769258739496834
192,0.467794975226904,0.4272213991110399,0.516883871905431,0.10029027481402623,0.17292440941461293,0.10111522070267248,0.4005801837999808,0.3894620504325222,0.516883871905431,0.4497147817432228,0.4403953168929544,0.5707143926684932
202,0.4606878573831147,0.41311314707989294,0.5206462342599192,0.09515034842172565,0.17527629958176846,0.09787377867992887,0.3929329289055431,0.38138802624565205,0.5206462342599192,0.44033444462438104,0.42396856808770417,0.5686985657496963
212,0.4602137891929354,0.41311314707989294,0.5194368066748839,0.09101337675121583,0.16765559090430027,0.09361839699819283,0.39202017108263737,0.3805020864861926,0.5194368066748839,0.4400041997280533,0.42396856808770417,0.5678932085277005
222,0.45776330076004346,0.42075848303393215,0.5019047619047619,0.08405705428934629,0.14668822891738514,0.08494147914530252,0.38689038205635856,0.3805138474433269,0.5019047619047619,0.4384030565385267,0.4316567054039637,0.5536723437221159
232,0.46043795620437955,0.41395732553343084,0.5186768782596438,0.08686971914954657,0.15688431543273512,0.08889079660176556,0.3913670076003801,0.37818090549463523,0.5186768782596438,0.4409605558815992,0.4249699263112457,0.5708361221479157
242,0.4601117039013004,0.41395732553343084,0.5178496036027583,0.08458367390876903,0.15275578081608418,0.08655156511224542,0.3907427885142791,0.3775777178609711,0.5178496036027583,0.44075548367501843,0.4249699263112457,0.5704129176037392
252,0.4576204072275598,0.4110599423415328,0.5160759612672746,0.08116278485487262,0.1428659259372518,0.08324564573358802,0.3898253177647585,0.3797916239374131,0.5160759612672746,0.4374273877588457,0.42185015086145505,0.5656382128079445
